Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
13601,2015,Ten Boer,6075,2980,3095,2640.0,2695.0,350.0,14.33,0.36,9.98,2370,810.0,89.0,11.0,77.0,23.0,2960.0,1610.0,21.7,5.0,2825
13613,2015,Delfzijl,17180,8565,8620,6955.0,7410.0,1455.0,14.38,0.37,10.95,8045,2595.0,70.0,30.0,54.0,45.0,2650.0,1420.0,20.7,11.4,7495
13639,2015,Groningen,21560,11215,10340,18130.0,1980.0,1070.0,15.92,0.64,18.41,17125,2415.0,16.0,84.0,18.0,78.0,2310.0,1150.0,19.9,18.8,4610
13806,2015,Grootegast,5305,2670,2635,2360.0,2355.0,265.0,14.55,0.35,9.67,2090,665.0,88.0,12.0,66.0,31.0,3150.0,1730.0,19.2,6.5,2690
13822,2015,Haren,17080,8095,8985,7220.0,7330.0,1275.0,14.67,0.45,12.68,7815,2485.0,76.0,24.0,68.0,32.0,2980.0,1820.0,29.9,5.9,8180
13836,2015,Hoogezand-Sappemeer,6700,3280,3415,3030.0,2465.0,615.0,14.89,0.44,12.01,3510,1050.0,48.0,52.0,47.0,50.0,2470.0,1330.0,20.4,11.7,3090
13886,2015,Leek,10655,5130,5525,4445.0,4735.0,750.0,14.51,0.37,10.02,4560,1495.0,84.0,16.0,57.0,43.0,3000.0,1560.0,21.4,6.3,4965
13912,2015,Loppersum,3670,1795,1870,1460.0,1735.0,220.0,14.25,0.34,9.57,1610,575.0,87.0,13.0,62.0,38.0,2950.0,1720.0,21.7,7.0,1755
13937,2015,Marum,7985,4110,3875,3590.0,3560.0,440.0,14.54,0.36,10.14,3175,1025.0,92.0,8.0,70.0,30.0,3260.0,1780.0,21.7,6.4,4380
13954,2015,Almere,21935,10575,11360,10075.0,8465.0,2410.0,17.45,0.64,15.66,10220,2950.0,67.0,33.0,54.0,46.0,3040.0,1210.0,23.5,12.3,8950
14017,2015,Stadskanaal,19460,9530,9930,7780.0,8555.0,1595.0,14.91,0.39,10.24,9035,3020.0,72.0,28.0,55.0,43.0,2830.0,1540.0,19.6,9.6,9460
14047,2015,Slochteren,4490,2295,2195,1880.0,2055.0,280.0,14.31,0.35,9.87,1970,735.0,97.0,3.0,70.0,29.0,3140.0,1820.0,21.8,7.2,2630
14083,2015,Veendam,20020,9795,10220,8280.0,8495.0,1705.0,15.44,0.45,12.4,9160,2925.0,75.0,25.0,61.0,38.0,2820.0,1600.0,19.8,9.4,9615
14102,2015,Vlagtwedde,1870,915,955,650.0,975.0,110.0,15.71,0.36,9.91,840,365.0,94.0,6.0,78.0,22.0,3210.0,1900.0,20.8,5.8,1115
14147,2015,Zeewolde,21890,11195,10695,10360.0,9395.0,1550.0,17.83,0.59,14.61,8925,2440.0,86.0,14.0,67.0,33.0,3320.0,1020.0,24.1,6.1,13390
14156,2015,Winsum,7600,3725,3875,3290.0,3425.0,465.0,14.15,0.34,9.34,3110,1010.0,91.0,9.0,69.0,31.0,2860.0,1520.0,21.8,5.7,3220
14178,2015,Zuidhorn,9710,4750,4955,4295.0,4450.0,485.0,14.37,0.34,9.57,3760,1220.0,87.0,13.0,74.0,25.0,2970.0,1640.0,23.4,4.1,4350
14204,2015,Dongeradeel,12580,6110,6470,5535.0,5415.0,825.0,14.24,0.33,9.38,5520,1740.0,83.0,17.0,52.0,46.0,2480.0,1450.0,19.5,9.6,5645
14307,2015,Achtkarspelen,12065,6150,5915,5450.0,5250.0,715.0,14.53,0.34,9.47,4940,1580.0,91.0,9.0,63.0,36.0,2790.0,1610.0,18.7,8.4,5920
14331,2015,Ameland,3590,1765,1825,1630.0,1570.0,180.0,13.4,0.24,7.45,1610,520.0,82.0,18.0,66.0,28.0,3200.0,1750.0,20.5,4.5,1700
14338,2015,het Bildt,7115,3575,3540,3225.0,2995.0,450.0,13.6,0.28,8.21,2985,980.0,90.0,10.0,61.0,36.0,2580.0,1470.0,19.6,7.9,3450
14356,2015,Franekeradeel,9395,4585,4810,3955.0,3970.0,795.0,14.26,0.35,10.42,4520,1520.0,78.0,22.0,57.0,42.0,2490.0,1420.0,20.3,8.9,4150
14407,2015,Harlingen,14650,7335,7310,6455.0,5915.0,1335.0,13.93,0.32,10.65,6855,2140.0,76.0,24.0,54.0,46.0,2630.0,1370.0,20.5,10.1,6070
14418,2015,Heerenveen,28930,14135,14795,13320.0,11210.0,2470.0,14.9,0.43,13.57,13595,4025.0,64.0,36.0,49.0,49.0,2600.0,1320.0,22.3,9.8,12990
14453,2015,Kollumerland en Nieuwkruisland,5515,2770,2740,2380.0,2435.0,320.0,14.07,0.34,9.47,2335,810.0,82.0,18.0,62.0,38.0,2660.0,1550.0,20.0,7.7,2625
14475,2015,Leeuwarden,5030,2650,2380,3815.0,650.0,405.0,15.33,0.58,17.21,3595,700.0,15.0,85.0,16.0,81.0,1970.0,1020.0,20.8,22.7,1255
14636,2015,Leeuwarderadeel,8445,4200,4245,3545.0,3985.0,465.0,13.99,0.3,8.79,3480,1290.0,91.0,9.0,73.0,25.0,2790.0,1460.0,21.6,5.8,4010
14651,2015,Ooststellingwerf,9915,4890,5025,4265.0,4150.0,800.0,14.97,0.39,10.42,4470,1450.0,86.0,14.0,56.0,44.0,2770.0,1510.0,19.8,10.0,4750
14680,2015,Opsterland,7360,3630,3730,3140.0,3170.0,505.0,14.8,0.39,10.61,3310,1095.0,81.0,19.0,58.0,40.0,2660.0,1440.0,20.1,9.1,3495
14717,2015,Schiermonnikoog,925,470,455,370.0,410.0,75.0,13.05,0.24,7.02,500,150.0,83.0,17.0,54.0,43.0,2980.0,1680.0,23.8,5.5,330
14719,2015,Smallingerland,44685,21950,22740,20300.0,18240.0,3535.0,14.96,0.46,13.72,20110,6075.0,75.0,25.0,55.0,43.0,2650.0,1380.0,20.8,9.9,20035
14749,2015,Terschelling,2485,1395,1085,1250.0,895.0,180.0,12.96,0.23,7.55,1435,380.0,83.0,17.0,57.0,40.0,2720.0,1580.0,23.1,4.9,1035
14767,2015,Vlieland,1100,540,560,520.0,420.0,100.0,13.26,0.23,7.62,590,180.0,82.0,18.0,43.0,54.0,3120.0,1500.0,25.0,7.3,380
14769,2015,Weststellingwerf,12615,6165,6450,5430.0,5210.0,900.0,15.17,0.42,11.83,5660,1790.0,82.0,18.0,51.0,49.0,2660.0,1410.0,19.4,8.3,5880
14845,2015,Assen,5705,2725,2975,2275.0,2065.0,755.0,15.41,0.55,14.7,3300,980.0,31.0,69.0,44.0,54.0,2330.0,1350.0,27.7,11.5,2640
15023,2015,Coevorden,14400,7075,7325,6195.0,6095.0,1060.0,16.62,0.47,12.1,6400,2015.0,79.0,21.0,57.0,40.0,2990.0,1460.0,20.1,10.8,6705
15120,2015,Emmen,3520,1825,1695,1510.0,1535.0,295.0,15.69,0.39,10.44,1470,495.0,96.0,4.0,64.0,34.0,3360.0,1860.0,18.5,9.8,1940
15259,2015,Hoogeveen,24920,12230,12690,11020.0,9915.0,2040.0,16.33,0.5,13.83,11880,3620.0,62.0,38.0,49.0,50.0,2630.0,1360.0,18.9,9.9,10840
15310,2015,Meppel,28705,14015,14690,13070.0,11690.0,2415.0,16.48,0.56,14.93,12840,3905.0,71.0,29.0,54.0,43.0,2870.0,1250.0,22.6,7.8,13065
15320,2015,Littenseradiel,3970,1985,1985,1835.0,1690.0,210.0,14.38,0.33,9.54,1610,550.0,92.0,8.0,69.0,31.0,2720.0,1530.0,21.2,5.4,1930
15389,2015,Almelo,5200,2465,2730,2295.0,1725.0,630.0,18.04,0.68,16.57,3080,840.0,31.0,69.0,29.0,71.0,2270.0,1020.0,22.0,13.7,2255
15468,2015,Borne,19895,9840,10055,8290.0,9170.0,1255.0,18.3,0.67,16.53,8345,2890.0,84.0,16.0,66.0,34.0,3320.0,1410.0,23.7,5.4,9720
15483,2015,Dalfsen,2565,1345,1220,1090.0,1260.0,75.0,17.24,0.5,13.36,985,355.0,91.0,9.0,79.0,20.0,4280.0,2180.0,22.7,7.5,1525
15519,2015,Deventer,7675,3780,3895,4310.0,2165.0,805.0,18.9,0.82,21.25,4475,1250.0,32.0,68.0,36.0,63.0,2540.0,900.0,27.0,12.6,2940
15597,2015,Enschede,24715,12835,11880,15040.0,6240.0,2105.0,19.36,0.81,19.35,15125,3395.0,37.0,63.0,33.0,64.0,2600.0,1080.0,21.0,16.0,8750
15673,2015,Haaksbergen,17620,8765,8855,7265.0,8230.0,985.0,18.38,0.65,14.48,7305,2575.0,87.0,13.0,66.0,31.0,3350.0,1500.0,22.1,5.2,8650
15709,2015,Hardenberg,715,370,345,290.0,370.0,15.0,17.49,0.45,11.95,250,85.0,90.0,10.0,84.0,15.0,4560.0,2240.0,21.6,4.8,380
15760,2015,Hellendoorn,4150,2015,2135,1690.0,1940.0,190.0,17.3,0.54,12.73,1665,610.0,91.0,9.0,70.0,30.0,3350.0,1700.0,21.8,2.8,2120
15806,2015,Hengelo,2635,1350,1285,1405.0,830.0,230.0,18.86,0.78,18.61,1470,415.0,38.0,62.0,48.0,50.0,2730.0,1360.0,24.8,10.3,1140
15875,2015,Kampen,35335,17540,17795,15950.0,15560.0,2130.0,16.66,0.58,14.94,15040,4615.0,73.0,27.0,57.0,42.0,2760.0,1300.0,20.5,7.5,14020
15916,2015,Losser,13185,6525,6660,5430.0,6165.0,755.0,18.2,0.61,14.25,5455,1990.0,83.0,17.0,65.0,32.0,3280.0,1570.0,22.2,5.5,6495
15931,2015,Noordoostpolder,25585,12610,12975,11365.0,10965.0,1795.0,15.54,0.46,12.08,10820,3305.0,81.0,19.0,60.0,39.0,2950.0,1310.0,21.0,7.8,11900
16003,2015,Oldenzaal,2305,1095,1210,915.0,780.0,235.0,18.11,0.66,16.03,1380,400.0,23.0,77.0,25.0,68.0,2530.0,1050.0,23.8,7.5,1045
16031,2015,Ommen,11820,5845,5970,4890.0,5540.0,630.0,16.59,0.46,11.27,5045,1765.0,80.0,20.0,65.0,35.0,3110.0,1580.0,22.4,5.4,6060
16096,2015,Raalte,8455,4040,4410,3510.0,3515.0,635.0,17.62,0.58,14.34,4025,1400.0,80.0,20.0,43.0,57.0,2690.0,1370.0,20.4,7.5,3705
16148,2015,Staphorst,8765,4440,4320,4095.0,4045.0,225.0,16.47,0.47,13.18,2975,820.0,86.0,14.0,71.0,28.0,3460.0,1740.0,18.1,4.9,4220
16178,2015,Tubbergen,6435,3180,3255,2860.0,2815.0,245.0,18.29,0.47,11.63,2520,760.0,74.0,26.0,61.0,35.0,3520.0,1570.0,21.7,4.6,3230
16201,2015,Urk,19705,9970,9735,9900.0,8870.0,320.0,16.82,0.46,12.44,5845,1305.0,87.0,13.0,78.0,20.0,3690.0,1550.0,17.9,3.6,6340
16211,2015,Wierden,13155,6500,6655,5435.0,6310.0,615.0,17.93,0.61,14.9,5290,1815.0,87.0,13.0,71.0,29.0,3280.0,1510.0,22.8,3.9,6445
16241,2015,Zwolle,3400,1715,1685,2350.0,690.0,270.0,17.71,0.73,20.31,2255,620.0,20.0,80.0,32.0,65.0,2740.0,1260.0,31.6,12.1,1320
16343,2015,Rijnwaarden,8485,4210,4275,3540.0,3790.0,605.0,18.79,0.77,15.73,3690,1240.0,86.0,14.0,60.0,39.0,3290.0,1390.0,21.0,6.8,4450
16363,2015,Aalten,4035,2085,1950,1815.0,1930.0,115.0,20.23,0.69,14.8,1455,505.0,81.0,19.0,86.0,13.0,4320.0,2000.0,20.8,4.8,2140
16396,2015,Apeldoorn,6325,3235,3085,,,,18.9,0.84,20.25,3980,,18.0,82.0,47.0,52.0,2510.0,940.0,26.0,10.4,2685
16503,2015,Arnhem,5035,2680,2350,,,,20.26,1.01,26.47,3555,,4.0,96.0,22.0,75.0,2160.0,960.0,24.6,17.3,1675
16594,2015,Barneveld,31745,15635,16110,,,,21.87,0.68,17.16,11955,,75.0,25.0,63.0,35.0,3280.0,1350.0,21.1,5.8,14340
16646,2015,Beuningen,17160,8550,8615,,,,20.12,0.76,19.46,7170,,83.0,17.0,67.0,33.0,3420.0,1340.0,25.4,6.0,8590
16695,2015,Brummen,645,325,320,,,,17.86,0.57,13.53,245,,92.0,8.0,83.0,16.0,4510.0,2290.0,26.4,2.9,365
16749,2015,Buren,3590,1770,1820,,,,19.37,0.69,17.11,1450,,89.0,11.0,72.0,27.0,3580.0,1710.0,26.2,5.2,2050
16796,2015,Culemborg,27550,13655,13890,,,,19.13,0.72,16.85,11630,,75.0,25.0,62.0,38.0,2990.0,1110.0,24.2,6.8,11945
16804,2015,Doesburg,11355,5540,5810,,,,18.7,0.73,17.28,5160,,79.0,21.0,51.0,48.0,2890.0,1230.0,21.5,9.9,5455
16814,2015,Doetinchem,4090,2010,2080,,,,19.44,0.88,20.66,2260,,34.0,66.0,46.0,54.0,2590.0,1240.0,27.7,10.7,1935
16945,2015,Druten,12050,5950,6100,,,,19.92,0.77,20.5,4855,,79.0,21.0,60.0,39.0,3290.0,1370.0,23.2,5.6,5845
16963,2015,Duiven,5,5,0,,,,19.4,0.8,22.48,0,,,,,,,,,,405
16981,2015,Ede,9590,4580,5005,,,,19.83,0.85,20.52,4950,,40.0,60.0,63.0,35.0,2840.0,1350.0,27.6,5.6,4530
17063,2015,Elburg,12050,5905,6145,,,,16.93,0.53,13.42,4755,,84.0,16.0,60.0,38.0,3130.0,1380.0,21.0,4.7,5730
17080,2015,Epe,14340,7035,7300,,,,18.05,0.61,17.09,6330,,77.0,23.0,62.0,36.0,3270.0,1700.0,24.9,6.3,7610
17104,2015,Ermelo,25450,12590,12865,,,,18.09,0.63,16.05,10410,,77.0,23.0,60.0,38.0,3240.0,1560.0,24.6,6.0,12105
17120,2015,Geldermalsen,14535,7140,7395,,,,19.4,0.76,20.56,5715,,84.0,16.0,68.0,31.0,3430.0,1460.0,24.6,4.7,6935
17151,2015,Harderwijk,2285,1115,1170,,,,17.82,0.64,16.32,1315,,48.0,52.0,44.0,49.0,2500.0,1210.0,27.9,8.0,950
17219,2015,Hattem,11060,5440,5615,,,,17.13,0.58,15.09,4595,,83.0,17.0,62.0,36.0,3000.0,1500.0,23.8,4.2,5235
17229,2015,Heerde,12435,6030,6405,,,,17.37,0.51,13.22,5175,,82.0,18.0,70.0,28.0,3260.0,1660.0,23.2,3.6,6525
17244,2015,Heumen,13035,6425,6610,,,,19.79,0.8,21.9,5475,,82.0,18.0,69.0,29.0,3380.0,1550.0,27.4,4.8,6395
17265,2015,Lochem,12460,5975,6485,,,,18.31,0.64,15.36,5510,,79.0,21.0,61.0,38.0,2990.0,1500.0,24.5,6.1,6220
17303,2015,Maasdriel,9795,4970,4825,,,,19.41,0.76,19.0,3970,,91.0,9.0,66.0,34.0,3770.0,1710.0,22.9,5.2,5135
17327,2015,Nijkerk,26165,13020,13145,,,,19.12,0.76,18.94,10650,,80.0,20.0,65.0,35.0,3110.0,1340.0,22.5,5.5,12005
17359,2015,Nijmegen,11365,5595,5770,,,,20.28,1.03,25.92,8620,,12.0,88.0,22.0,70.0,2230.0,1040.0,23.0,14.8,3360
17408,2015,Oldebroek,7245,3625,3620,,,,16.54,0.51,13.24,2735,,80.0,20.0,68.0,30.0,3430.0,1630.0,20.2,3.8,3510
17436,2015,Putten,21960,10860,11100,,,,18.07,0.62,14.95,8665,,84.0,16.0,65.0,33.0,3350.0,1550.0,22.4,5.5,10490
17449,2015,Renkum,11275,5420,5855,,,,18.97,0.75,20.7,5060,,71.0,29.0,68.0,31.0,3160.0,1810.0,30.9,5.8,5535
17465,2015,Rheden,17010,8375,8635,,,,18.47,0.7,16.71,7685,,83.0,17.0,56.0,42.0,2900.0,1490.0,23.0,6.8,8140
17490,2015,Rozendaal,1510,745,765,,,,18.9,0.78,19.56,645,,98.0,2.0,86.0,14.0,4140.0,2470.0,38.3,2.0,875
17492,2015,Scherpenzeel,9520,4695,4825,,,,22.04,0.67,16.66,3655,,87.0,13.0,72.0,28.0,3270.0,1560.0,22.1,3.3,4510
17495,2015,Tiel,19600,9765,9830,,,,19.95,0.85,21.42,9010,,59.0,41.0,43.0,54.0,2730.0,1230.0,19.9,11.2,8120
17526,2015,Voorst,2745,1390,1350,,,,17.96,0.58,14.03,1065,,82.0,18.0,58.0,42.0,3400.0,1730.0,23.7,4.0,1490
17563,2015,Wageningen,33860,16280,17580,,,,19.44,0.74,18.65,19565,,38.0,62.0,34.0,59.0,2510.0,1090.0,21.8,8.9,10835
17577,2015,Westervoort,14990,7335,7655,,,,19.57,0.79,18.71,6495,,87.0,13.0,57.0,43.0,3130.0,790.0,22.6,7.7,7090
17583,2015,Winterswijk,22780,11280,11500,,,,18.93,0.69,15.65,10170,,76.0,24.0,67.0,33.0,3000.0,1380.0,20.5,7.8,10065
17600,2015,Wijchen,280,145,135,,,,20.04,0.78,19.85,90,,88.0,12.0,80.0,20.0,4430.0,1840.0,24.4,,140
17674,2015,Zaltbommel,12025,5930,6095,,,,19.9,0.8,21.72,5085,,82.0,18.0,58.0,41.0,3080.0,1350.0,24.6,6.4,5715
17702,2015,Zevenaar,23690,11520,12170,,,,19.35,0.86,22.65,10870,,77.0,23.0,58.0,41.0,3100.0,1330.0,22.3,7.3,11435
17731,2015,Zutphen,8310,3985,4325,,,,18.27,0.64,16.0,4410,,48.0,52.0,43.0,55.0,2520.0,1230.0,24.4,11.5,3530
17762,2015,Nunspeet,21545,10585,10960,,,,16.96,0.58,15.71,8600,,82.0,18.0,61.0,38.0,3220.0,1540.0,22.0,5.3,10095
17776,2015,Dronten,7835,4025,3810,,,,16.0,0.48,12.48,2935,,94.0,6.0,78.0,22.0,3430.0,1200.0,23.6,2.9,3525
17823,2015,Neerijnen,4400,2190,2210,,,,19.35,0.72,18.63,1730,,95.0,5.0,62.0,37.0,3610.0,1560.0,23.7,4.9,2240
17844,2015,Amersfoort,5460,2680,2780,,,,20.12,0.9,21.97,3365,,27.0,73.0,36.0,60.0,2280.0,1100.0,30.3,11.4,1900
18010,2015,Baarn,11710,5660,6045,,,,18.54,0.75,18.49,5450,,66.0,34.0,59.0,37.0,3050.0,1630.0,29.9,6.3,5600
18027,2015,De Bilt,15160,7220,7935,,,,19.74,0.95,25.0,7265,,49.0,51.0,50.0,49.0,2830.0,1340.0,26.3,7.9,6515
18045,2015,Bunnik,6645,3255,3385,,,,20.34,1.07,27.02,2955,,83.0,17.0,73.0,27.0,3180.0,1660.0,29.6,3.6,3055
18053,2015,Bunschoten,20645,10320,10325,,,,18.77,0.7,17.07,7775,,81.0,19.0,76.0,23.0,3620.0,1440.0,22.4,3.9,8810
18065,2015,Houten,13770,6765,7000,,,,19.57,0.86,22.37,5680,,83.0,17.0,68.0,32.0,3290.0,1280.0,29.5,3.6,5965
18130,2015,Leusden,8125,3990,4135,,,,19.39,0.74,17.37,3650,,78.0,22.0,67.0,33.0,3140.0,1230.0,27.4,4.5,3980
18161,2015,Lopik,14060,7150,6905,,,,18.93,0.73,18.34,5325,,88.0,12.0,73.0,26.0,3650.0,1540.0,22.8,4.7,6895
18175,2015,Montfoort,8135,4055,4075,,,,18.69,0.72,18.04,3340,,83.0,17.0,69.0,30.0,3290.0,1310.0,24.4,3.0,3625
18187,2015,Renswoude,4965,2465,2495,,,,20.96,0.68,16.71,1825,,90.0,10.0,74.0,26.0,3990.0,1580.0,22.8,3.7,2430
18189,2015,Rhenen,1045,495,550,,,,19.7,0.78,18.63,570,,54.0,46.0,43.0,55.0,2560.0,1230.0,23.2,9.4,510
18233,2015,Soest,9250,4480,4765,,,,19.1,0.77,18.79,4125,,73.0,27.0,68.0,32.0,3510.0,1800.0,30.6,4.4,4845
18266,2015,Utrecht,28550,13665,14885,,,,20.55,1.09,27.22,15355,,37.0,63.0,52.0,45.0,2350.0,1160.0,26.8,8.9,8625
18394,2015,Veenendaal,4605,2145,2455,,,,20.18,0.81,19.58,2635,,19.0,81.0,43.0,56.0,2330.0,890.0,21.9,8.3,1905
18432,2015,Woudenberg,12485,6250,6235,,,,21.04,0.66,15.97,4815,,83.0,17.0,70.0,30.0,3380.0,1510.0,23.7,3.4,6035
18444,2015,Wijk bij Duurstede,17370,8480,8890,,,,19.12,0.72,16.94,7315,,81.0,19.0,66.0,34.0,3290.0,1270.0,26.2,4.7,8295
18454,2015,IJsselstein,34060,16550,17505,,,,19.23,0.79,19.61,14050,,70.0,30.0,63.0,36.0,3280.0,1140.0,26.0,5.2,14430
18486,2015,Zeist,15345,7345,8000,,,,18.93,0.79,19.17,7205,,54.0,46.0,59.0,38.0,3180.0,1620.0,34.1,5.8,7205
18523,2015,Nieuwegein,6135,2990,3145,,,,20.07,0.95,24.55,3160,,47.0,53.0,48.0,52.0,2960.0,950.0,22.5,11.2,2495
18569,2015,Aalsmeer,12030,5860,6165,,,,17.78,0.77,19.87,5305,,73.0,27.0,58.0,37.0,3270.0,1510.0,27.2,4.7,6000
18579,2015,Alkmaar,14280,6725,7550,,,,17.51,0.7,18.61,6775,,57.0,43.0,54.0,40.0,2580.0,1340.0,25.9,7.4,5485
18645,2015,Amsterdam,86360,44465,41895,,,,20.98,1.2,30.39,55915,,5.0,95.0,31.0,67.0,2180.0,1010.0,35.8,13.7,19920
18739,2015,Beemster,6265,3165,3095,,,,17.03,0.55,14.16,2495,,89.0,11.0,70.0,29.0,3390.0,1570.0,26.1,6.0,3225
18749,2015,Bergen (NH.),11630,5365,6265,,,,15.96,0.47,12.22,5485,,73.0,27.0,63.0,34.0,3280.0,1900.0,30.7,6.2,5890
18801,2015,Beverwijk,6205,3175,3030,,,,19.0,0.71,20.31,3320,,41.0,59.0,55.0,44.0,2430.0,1070.0,23.4,7.0,2655
18835,2015,Bloemendaal,6465,3010,3450,,,,17.37,0.65,16.56,2905,,63.0,37.0,60.0,40.0,3430.0,2080.0,42.5,7.0,3275
18857,2015,Castricum,4905,2395,2510,,,,17.18,0.58,15.5,2265,,64.0,36.0,76.0,24.0,2820.0,1370.0,29.5,4.0,2015
18877,2015,Diemen,9595,4675,4920,,,,19.32,0.94,24.04,4970,,43.0,57.0,31.0,67.0,3070.0,850.0,22.0,10.3,3260
18905,2015,Edam-Volendam,7945,3880,4065,,,,16.95,0.58,14.73,3490,,84.0,16.0,69.0,31.0,3040.0,1500.0,26.2,5.9,3285
18927,2015,Enkhuizen,8515,4200,4315,,,,15.33,0.46,13.81,4295,,65.0,35.0,53.0,46.0,2610.0,1230.0,23.5,7.6,3325
18935,2015,Haarlem,13375,6755,6620,,,,19.27,0.92,22.55,8300,,30.0,70.0,45.0,52.0,2440.0,1220.0,33.7,9.5,4800
18994,2015,Haarlemmerliede en Spaarnwoude,5555,2730,2820,,,,18.3,0.81,21.47,2375,,78.0,22.0,67.0,32.0,3420.0,1440.0,27.4,5.0,2835
19002,2015,Haarlemmermeer,73295,36250,37045,,,,18.15,0.76,19.47,30515,,70.0,30.0,62.0,37.0,3130.0,1120.0,26.5,5.3,37800
19110,2015,Heemskerk,1645,740,905,,,,18.45,0.7,19.29,955,,22.0,78.0,42.0,57.0,2280.0,1040.0,27.0,3.4,770
19147,2015,Heemstede,22610,10475,12135,,,,18.02,0.75,19.56,10180,,65.0,35.0,64.0,34.0,3180.0,1640.0,37.0,4.3,11140
19162,2015,Heerhugowaard,2945,1455,1490,,,,16.65,0.58,15.6,1345,,78.0,22.0,57.0,43.0,2880.0,1390.0,21.8,8.0,1275
19218,2015,Heiloo,770,385,385,,,,16.8,0.59,15.42,305,,98.0,2.0,86.0,13.0,4580.0,2690.0,38.5,3.3,425
19241,2015,Den Helder,8990,4625,4360,,,,15.18,0.47,16.03,4685,,68.0,32.0,54.0,44.0,2460.0,1260.0,21.7,11.4,3465
19318,2015,Hilversum,9180,4725,4455,,,,19.54,0.91,21.86,5305,,38.0,62.0,46.0,53.0,2520.0,1180.0,26.4,10.6,3275
19367,2015,Hoorn,5510,2630,2880,,,,16.6,0.62,17.06,3065,,45.0,55.0,49.0,49.0,2580.0,1200.0,29.8,7.1,2385
19448,2015,Huizen,6230,2920,3305,,,,18.6,0.81,19.23,2775,,82.0,18.0,59.0,41.0,2980.0,1550.0,26.1,6.5,2930
19481,2015,Landsmeer,9470,4520,4945,,,,18.23,0.71,18.14,4105,,85.0,15.0,62.0,37.0,3300.0,1420.0,27.9,4.3,4415
19488,2015,Langedijk,27285,13580,13705,,,,15.89,0.5,12.96,11150,,85.0,15.0,73.0,26.0,3180.0,1250.0,24.1,4.9,13105
19495,2015,Medemblik,8580,4260,4320,,,,15.33,0.42,12.53,3800,,76.0,24.0,56.0,42.0,2930.0,1390.0,21.2,6.7,3900
19538,2015,Oostzaan,9185,4485,4700,,,,19.55,0.89,23.63,3850,,83.0,17.0,65.0,34.0,3310.0,1410.0,26.6,3.7,4425
19542,2015,Opmeer,5990,3025,2960,,,,16.0,0.46,12.21,2415,,85.0,15.0,73.0,25.0,3110.0,1370.0,22.4,4.6,2945
19554,2015,Ouder-Amstel,13285,6435,6850,,,,18.94,0.97,24.9,5870,,63.0,37.0,57.0,43.0,3120.0,1300.0,31.4,5.1,6040
19561,2015,Purmerend,4225,1985,2235,,,,18.02,0.76,19.44,2395,,43.0,57.0,46.0,50.0,2440.0,880.0,25.5,8.2,1680
19588,2015,Schagen,18605,9105,9495,,,,15.52,0.46,13.58,8440,,79.0,21.0,61.0,37.0,2860.0,1260.0,23.6,5.2,8645
19633,2015,Texel,12145,6015,6130,,,,14.22,0.29,9.45,5545,,80.0,20.0,65.0,33.0,2930.0,1420.0,22.0,5.8,5855
19648,2015,Uitgeest,13290,6660,6625,,,,17.79,0.67,18.46,5475,,81.0,19.0,70.0,29.0,3130.0,1310.0,26.2,3.8,6055
19654,2015,Uithoorn,910,475,435,,,,18.08,0.72,19.17,510,,41.0,59.0,42.0,58.0,2530.0,1200.0,28.4,7.4,505
19676,2015,Velsen,4755,2275,2475,,,,17.51,0.59,16.77,1990,,77.0,23.0,75.0,25.0,3340.0,1820.0,33.6,2.5,2525
19743,2015,Weesp,18345,8835,9510,,,,18.77,0.82,21.41,8615,,49.0,51.0,52.0,46.0,2760.0,1140.0,26.6,6.9,7585
19745,2015,Zandvoort,7570,3675,3895,,,,17.26,0.57,14.42,3715,,46.0,54.0,39.0,61.0,2640.0,930.0,22.6,10.6,3155
19762,2015,Zaanstad,12545,6195,6350,,,,19.36,0.82,24.22,5970,,59.0,41.0,43.0,55.0,2530.0,1170.0,21.0,10.8,4810
19818,2015,Alblasserdam,4580,2205,2375,,,,23.52,0.96,26.22,1950,,60.0,40.0,64.0,35.0,2980.0,1120.0,23.8,3.7,1975
19848,2015,Alphen aan den Rijn,9420,4720,4700,,,,18.8,0.68,18.12,4060,,61.0,39.0,59.0,41.0,3090.0,1230.0,25.6,6.3,4320
19985,2015,Barendrecht,1555,725,830,,,,19.06,0.83,25.56,725,,74.0,26.0,43.0,57.0,2750.0,1460.0,23.3,7.7,705
20068,2015,Drechterland,7890,3930,3955,,,,15.89,0.5,14.53,3265,,85.0,15.0,71.0,27.0,3060.0,1370.0,22.7,3.3,3290
20089,2015,Brielle,12725,6150,6575,,,,17.45,0.59,19.58,5795,,75.0,25.0,59.0,40.0,3120.0,1210.0,28.4,4.9,6545
20105,2015,Capelle aan den IJssel,9960,4915,5040,,,,19.4,0.92,27.25,3800,,77.0,23.0,79.0,21.0,3510.0,1140.0,28.6,2.5,4390
20186,2015,Delft,12680,7160,5520,,,,19.78,0.93,26.69,8380,,31.0,69.0,42.0,55.0,2600.0,1240.0,28.2,8.1,3265
20310,2015,Dordrecht,8445,4355,4090,,,,19.73,0.92,26.69,4960,,31.0,69.0,51.0,47.0,2510.0,1170.0,30.3,10.7,3420
