Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
9711,2014,Woudrichem,4620,2275,2345,43.0,46.0,6.0,21.37,0.92,20.65,1890,33.0,86.0,14.0,63.0,37.0,3450.0,1350.0,24.5,5.1,2315
9728,2014,Zundert,7830,3930,3900,41.0,45.0,6.0,20.79,0.95,20.5,3520,35.0,83.0,17.0,69.0,31.0,3450.0,1450.0,22.0,7.0,4150
9739,2014,Wormerland,13055,6480,6575,43.0,44.0,7.0,19.95,0.78,16.91,5680,32.0,73.0,27.0,59.0,40.0,3000.0,1200.0,23.6,6.6,5770
9753,2014,Onderbanken,7880,3925,3955,38.0,48.0,7.0,20.08,0.84,14.01,3455,35.0,90.0,10.0,72.0,27.0,3650.0,1650.0,21.4,9.2,4505
9758,2014,Landgraaf,15825,7765,8060,38.0,45.0,9.0,20.71,1.03,18.38,7325,35.0,75.0,25.0,61.0,38.0,3150.0,1300.0,21.9,11.2,8420
9785,2014,Beek,14440,6960,7480,38.0,48.0,7.0,20.74,0.98,19.52,6555,35.0,74.0,26.0,68.0,32.0,3300.0,1400.0,23.5,7.2,7890
9793,2014,Beesel,11150,5590,5560,40.0,47.0,7.0,21.35,0.87,18.14,4765,34.0,86.0,14.0,65.0,35.0,3450.0,1300.0,20.0,7.8,5200
9801,2014,Bergen (L.),2130,1045,1085,41.0,48.0,5.0,21.14,0.75,16.37,885,34.0,96.0,4.0,71.0,28.0,3750.0,1500.0,20.8,7.3,1165
9810,2014,Brunssum,7155,3525,3625,41.0,44.0,9.0,20.5,0.99,17.1,3135,31.0,78.0,22.0,61.0,36.0,3300.0,1250.0,21.2,11.0,3635
9849,2014,Gennep,2775,1380,1395,40.0,49.0,6.0,21.02,0.77,16.52,1175,40.0,99.0,1.0,78.0,21.0,3950.0,1650.0,24.0,5.7,1595
9865,2014,Heerlen,4180,2135,2050,43.0,41.0,11.0,20.67,0.99,17.87,2100,32.0,72.0,28.0,53.0,46.0,3100.0,1350.0,21.1,21.2,2075
9935,2014,Kerkrade,14790,7485,7305,38.0,45.0,9.0,20.7,0.98,17.53,6990,34.0,78.0,22.0,57.0,42.0,3150.0,1300.0,20.1,13.0,7710
9953,2014,Maastricht,18025,8510,9510,67.0,21.0,7.0,21.89,1.31,24.14,12570,20.0,20.0,80.0,21.0,70.0,2450.0,900.0,24.0,16.2,4945
